price,millage,location,year,make,model,city,state,accidents,owners,use,name
13130,34770,"Jersey City,  NJ",2019,Hyundai,Elantra,Jersey City, NJ,0,1.0,Personal,Hyundai Elantra
22990,53762,"New York,  NY",2018,Honda,Accord,New York, NY,0,1.0,Personal,Honda Accord
15788,24317,"Bronx,  NY",2019,Ford,Fusion,Bronx, NY,0,1.0,Personal,Ford Fusion
4950,146988,"Brooklyn,  NY",2007,BMW,X3,Brooklyn, NY,2,4.0,Fleet,BMW X3
4950,92136,"Brooklyn,  NY",2010,Dodge,Journey,Brooklyn, NY,0,3.0,Fleet,Dodge Journey
22497,25812,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
22897,34415,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
25397,34158,"Jersey City,  NJ",2020,GMC,Terrain,Jersey City, NJ,0,1.0,Personal,GMC Terrain
20297,22218,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
16597,21710,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
22997,21483,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
3495,199066,"Jamaica,  NY",2005,Toyota,Prius,Jamaica, NY,2,4.0,Personal,Toyota Prius
18995,94764,"Brooklyn,  NY",2017,Jeep,Grand Cherokee,Brooklyn, NY,0,1.0,Personal,Jeep Grand Cherokee
16497,22205,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
3699,140710,"Union City,  NJ",2008,Scion,xD,Union City, NJ,1,4.0,Personal,Scion xD
20397,21541,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
18297,34279,"Jersey City,  NJ",2019,Nissan,Rogue,Jersey City, NJ,0,1.0,Personal,Nissan Rogue
17497,34196,"Jersey City,  NJ",2019,Chevrolet,Impala,Jersey City, NJ,0,1.0,Personal,Chevrolet Impala
17897,31601,"Jersey City,  NJ",2019,Dodge,Grand Caravan,Jersey City, NJ,0,1.0,Personal,Dodge Grand Caravan
17897,29420,"Jersey City,  NJ",2019,Ford,Escape,Jersey City, NJ,0,1.0,Personal,Ford Escape
16997,40000,"Jersey City,  NJ",2019,Toyota,Camry,Jersey City, NJ,0,1.0,Personal,Toyota Camry
16995,98757,"Brooklyn,  NY",2017,Cadillac,XT5,Brooklyn, NY,1,1.0,Personal,Cadillac XT5
23797,13950,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
16995,38724,"Bergenfield,  NJ",2017,Honda,Civic,Bergenfield, NJ,0,1.0,Personal,Honda Civic
21697,34971,"Jersey City,  NJ",2019,Chevrolet,Express Passenger,Jersey City, NJ,0,1.0,Personal,Chevrolet Express Passenger
12995,38899,"Long Island City,  NY",2017,Honda,Accord,Long Island City, NY,5,1.0,Personal,Honda Accord
14900,108950,"Belford,  NJ",2017,Ford,Explorer,Belford, NJ,0,2.0,Personal,Ford Explorer
20697,32750,"Jersey City,  NJ",2019,Jeep,Compass,Jersey City, NJ,0,1.0,Personal,Jeep Compass
11995,58867,"Newark,  NJ",2017,Ford,Escape,Newark, NJ,0,1.0,Fleet,Ford Escape
7998,50770,"Forest Hills,  NY",2015,Chrysler,200,Forest Hills, NY,0,1.0,Personal,Chrysler 200
19297,22320,"Jersey City,  NJ",2019,Nissan,Rogue,Jersey City, NJ,0,1.0,Personal,Nissan Rogue
14388,32508,"Little Falls,  NJ",2017,Toyota,Camry,Little Falls, NJ,0,1.0,Personal,Toyota Camry
9880,48876,"Bloomfield,  NJ",2011,Mercedes-Benz,C-Class,Bloomfield, NJ,2,3.0,Personal,Mercedes-Benz C-Class
13130,34770,"Jersey City,  NJ",2019,Hyundai,Elantra,Jersey City, NJ,0,1.0,Personal,Hyundai Elantra
22990,53762,"New York,  NY",2018,Honda,Accord,New York, NY,0,1.0,Personal,Honda Accord
15788,24317,"Bronx,  NY",2019,Ford,Fusion,Bronx, NY,0,1.0,Personal,Ford Fusion
4950,146988,"Brooklyn,  NY",2007,BMW,X3,Brooklyn, NY,2,4.0,Fleet,BMW X3
4950,92136,"Brooklyn,  NY",2010,Dodge,Journey,Brooklyn, NY,0,3.0,Fleet,Dodge Journey
22497,25812,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
22897,34415,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
25397,34158,"Jersey City,  NJ",2020,GMC,Terrain,Jersey City, NJ,0,1.0,Personal,GMC Terrain
20297,22218,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
16597,21710,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
22997,21483,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
3495,199066,"Jamaica,  NY",2005,Toyota,Prius,Jamaica, NY,2,4.0,Personal,Toyota Prius
18995,94764,"Brooklyn,  NY",2017,Jeep,Grand Cherokee,Brooklyn, NY,0,1.0,Personal,Jeep Grand Cherokee
16497,22205,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
3699,140710,"Union City,  NJ",2008,Scion,xD,Union City, NJ,1,4.0,Personal,Scion xD
20397,21541,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
18297,34279,"Jersey City,  NJ",2019,Nissan,Rogue,Jersey City, NJ,0,1.0,Personal,Nissan Rogue
17497,34196,"Jersey City,  NJ",2019,Chevrolet,Impala,Jersey City, NJ,0,1.0,Personal,Chevrolet Impala
17897,31601,"Jersey City,  NJ",2019,Dodge,Grand Caravan,Jersey City, NJ,0,1.0,Personal,Dodge Grand Caravan
17897,29420,"Jersey City,  NJ",2019,Ford,Escape,Jersey City, NJ,0,1.0,Personal,Ford Escape
16997,40000,"Jersey City,  NJ",2019,Toyota,Camry,Jersey City, NJ,0,1.0,Personal,Toyota Camry
16995,98757,"Brooklyn,  NY",2017,Cadillac,XT5,Brooklyn, NY,1,1.0,Personal,Cadillac XT5
23797,13950,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
16995,38724,"Bergenfield,  NJ",2017,Honda,Civic,Bergenfield, NJ,0,1.0,Personal,Honda Civic
21697,34971,"Jersey City,  NJ",2019,Chevrolet,Express Passenger,Jersey City, NJ,0,1.0,Personal,Chevrolet Express Passenger
12995,38899,"Long Island City,  NY",2017,Honda,Accord,Long Island City, NY,5,1.0,Personal,Honda Accord
14900,108950,"Belford,  NJ",2017,Ford,Explorer,Belford, NJ,0,2.0,Personal,Ford Explorer
20697,32750,"Jersey City,  NJ",2019,Jeep,Compass,Jersey City, NJ,0,1.0,Personal,Jeep Compass
11995,58867,"Newark,  NJ",2017,Ford,Escape,Newark, NJ,0,1.0,Fleet,Ford Escape
7998,50770,"Forest Hills,  NY",2015,Chrysler,200,Forest Hills, NY,0,1.0,Personal,Chrysler 200
19297,22320,"Jersey City,  NJ",2019,Nissan,Rogue,Jersey City, NJ,0,1.0,Personal,Nissan Rogue
14388,32508,"Little Falls,  NJ",2017,Toyota,Camry,Little Falls, NJ,0,1.0,Personal,Toyota Camry
9880,48876,"Bloomfield,  NJ",2011,Mercedes-Benz,C-Class,Bloomfield, NJ,2,3.0,Personal,Mercedes-Benz C-Class
11972,88340,"Jersey City,  NJ",2010,Mercedes-Benz,CLS,Jersey City, NJ,0,6.0,Fleet,Mercedes-Benz CLS
8972,117356,"Jersey City,  NJ",2009,Lexus,RX,Jersey City, NJ,0,1.0,Personal,Lexus RX
15797,27494,"Jersey City,  NJ",2019,Mitsubishi,Eclipse Cross,Jersey City, NJ,0,1.0,Personal,Mitsubishi Eclipse Cross
19197,20999,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
15492,81321,"Jersey City,  NJ",2016,Ford,Edge,Jersey City, NJ,0,1.0,Personal,Ford Edge
8499,79032,"Union City,  NJ",2012,Honda,Civic,Union City, NJ,0,2.0,Personal,Honda Civic
8999,73277,"Union City,  NJ",2013,Chrysler,Town & Country,Union City, NJ,0,1.0,Personal,Chrysler Town & Country
20995,38944,"Union City,  NJ",2017,Honda,Accord,Union City, NJ,1,1.0,Personal,Honda Accord
17972,60765,"Jersey City,  NJ",2017,Jeep,Grand Cherokee,Jersey City, NJ,0,2.0,Personal,Jeep Grand Cherokee
52997,28436,"Jersey City,  NJ",2019,Lincoln,Navigator,Jersey City, NJ,0,1.0,Personal,Lincoln Navigator
8972,98629,"Jersey City,  NJ",2009,BMW,5 Series,Jersey City, NJ,1,2.0,Fleet,BMW 5 Series
8973,101516,"Jersey City,  NJ",2011,Volvo,C70,Jersey City, NJ,0,3.0,Personal,Volvo C70
3972,133186,"Jersey City,  NJ",2010,Kia,Forte,Jersey City, NJ,0,2.0,Personal,Kia Forte
3699,140710,"Union City,  NJ",2008,Scion,xD,Union City, NJ,1,4.0,Personal,Scion xD
18597,26800,"Jersey City,  NJ",2020,Chevrolet,Malibu,Jersey City, NJ,0,1.0,Personal,Chevrolet Malibu
16897,28319,"Jersey City,  NJ",2019,Mitsubishi,Outlander,Jersey City, NJ,0,1.0,Personal,Mitsubishi Outlander
22597,23878,"Jersey City,  NJ",2019,Chevrolet,Express Passenger,Jersey City, NJ,0,1.0,Personal,Chevrolet Express Passenger
9495,77770,"Union City,  NJ",2016,Nissan,Altima,Union City, NJ,1,2.0,Fleet,Nissan Altima
17984,88193,"Jersey City,  NJ",2013,BMW,7 Series,Jersey City, NJ,0,2.0,Personal,BMW 7 Series
22792,85399,"Jersey City,  NJ",2014,BMW,6 Series,Jersey City, NJ,0,3.0,Fleet,BMW 6 Series
15297,24433,"Jersey City,  NJ",2019,Kia,Soul,Jersey City, NJ,0,1.0,Personal,Kia Soul
17495,46675,"Union City,  NJ",2015,Ford,Edge,Union City, NJ,0,1.0,Personal,Ford Edge
21995,92517,"Union City,  NJ",2015,Mercedes-Benz,GL,Union City, NJ,1,1.0,Personal,Mercedes-Benz GL
14597,35562,"Jersey City,  NJ",2019,Kia,Soul,Jersey City, NJ,0,1.0,Personal,Kia Soul
12995,39667,"Union City,  NJ",2015,Chevrolet,Equinox,Union City, NJ,0,1.0,Personal,Chevrolet Equinox
12777,106105,"Jersey City,  NJ",2006,Lexus,SC,Jersey City, NJ,2,5.0,Personal,Lexus SC
18897,41882,"Jersey City,  NJ",2019,Jeep,Compass,Jersey City, NJ,0,1.0,Personal,Jeep Compass
19797,28059,"Jersey City,  NJ",2019,Dodge,Grand Caravan,Jersey City, NJ,0,1.0,Personal,Dodge Grand Caravan
39792,30035,"Jersey City,  NJ",2008,Bentley,Flying Spur,Jersey City, NJ,1,1.0,Personal,Bentley Flying Spur
4950,146988,"Brooklyn,  NY",2007,BMW,X3,Brooklyn, NY,2,4.0,Fleet,BMW X3
24996,13943,"Little Falls,  NJ",2017,Lexus,ES,Little Falls, NJ,0,1.0,Personal,Lexus ES
20397,20376,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
23697,32399,"Jersey City,  NJ",2019,Jeep,Cherokee,Jersey City, NJ,0,1.0,Personal,Jeep Cherokee
12472,108898,"Jersey City,  NJ",2007,Mercedes-Benz,SL,Jersey City, NJ,0,7.0,Personal,Mercedes-Benz SL
10942,47368,"Carlstadt,  NJ",2016,Ford,Fusion,Carlstadt, NJ,0,3.0,Fleet,Ford Fusion
5999,84011,"Irvington,  NJ",2017,Nissan,Versa,Irvington, NJ,0,2.0,Fleet,Nissan Versa
19097,36433,"Jersey City,  NJ",2019,Jeep,Compass,Jersey City, NJ,0,1.0,Personal,Jeep Compass
8900,49131,"Belford,  NJ",2016,Ford,Fusion,Belford, NJ,1,2.0,Fleet,Ford Fusion
9900,78475,"Belford,  NJ",2017,Chevrolet,Malibu,Belford, NJ,0,1.0,Fleet,Chevrolet Malibu
2950,190210,"Brooklyn,  NY",2005,Volvo,XC90,Brooklyn, NY,3,3.0,Personal,Volvo XC90
8499,79032,"Union City,  NJ",2012,Honda,Civic,Union City, NJ,0,2.0,Personal,Honda Civic
8982,135079,"Hasbrouck Heights,  NJ",2007,Lexus,GX,Hasbrouck Heights, NJ,0,4.0,Personal,Lexus GX
12900,30006,"Hillside,  NJ",2017,Toyota,Camry,Hillside, NJ,1,2.0,Fleet,Toyota Camry
19597,36393,"Jersey City,  NJ",2019,Chevrolet,Equinox,Jersey City, NJ,0,1.0,Personal,Chevrolet Equinox
17397,27934,"Jersey City,  NJ",2019,Ford,EcoSport,Jersey City, NJ,0,1.0,Personal,Ford EcoSport
4999,123702,"Brooklyn,  NY",2010,Volkswagen,Passat,Brooklyn, NY,0,3.0,Fleet,Volkswagen Passat
10495,113812,"Newark,  NJ",2013,BMW,X3,Newark, NJ,0,2.0,Personal,BMW X3
15542,52378,"Carlstadt,  NJ",2017,GMC,Savana Cargo Van,Carlstadt, NJ,0,1.0,Personal,GMC Savana Cargo Van
8999,73277,"Union City,  NJ",2013,Chrysler,Town & Country,Union City, NJ,0,1.0,Personal,Chrysler Town & Country
12995,90150,"Jamaica,  NY",2007,Mercedes-Benz,S-Class,Jamaica, NY,0,1.0,Personal,Mercedes-Benz S-Class
9999,107207,"Brooklyn,  NY",2013,Jeep,Grand Cherokee,Brooklyn, NY,0,3.0,Personal,Jeep Grand Cherokee
15995,68608,"Emerson,  NJ",2013,Subaru,Tribeca,Emerson, NJ,0,1.0,Personal,Subaru Tribeca
12795,73405,"Union,  NJ",2017,Honda,Accord,Union, NJ,0,1.0,Personal,Honda Accord
1995,142600,"Staten Island,  NY",2003,Nissan,Sentra,Staten Island, NY,1,3.0,Personal,Nissan Sentra
18690,19951,"Elmhurst,  NY",2019,Honda,Accord,Elmhurst, NY,0,1.0,Personal,Honda Accord
7800,62151,"Bayonne,  NJ",2013,Ford,Escape,Bayonne, NJ,1,4.0,Personal,Ford Escape
21497,34842,"New York,  NY",2019,Chevrolet,Express Passenger,New York, NY,0,1.0,Personal,Chevrolet Express Passenger
15542,52796,"Carlstadt,  NJ",2017,GMC,Savana Cargo Van,Carlstadt, NJ,0,1.0,Personal,GMC Savana Cargo Van
8950,107450,"Brooklyn,  NY",2016,Kia,Sedona,Brooklyn, NY,4,2.0,Fleet,Kia Sedona
22742,75293,"Carlstadt,  NJ",2018,Ford,F-150,Carlstadt, NJ,1,1.0,Personal,Ford F-150
10972,120080,"Jersey City,  NJ",2010,BMW,5 Series,Jersey City, NJ,0,2.0,Personal,BMW 5 Series
16978,101879,"Jersey City,  NJ",2012,Mercedes-Benz,S-Class,Jersey City, NJ,0,3.0,Fleet,Mercedes-Benz S-Class
12995,75491,"Union City,  NJ",2015,Nissan,Rogue,Union City, NJ,0,1.0,Personal,Nissan Rogue
10495,113812,"Newark,  NJ",2013,BMW,X3,Newark, NJ,0,2.0,Personal,BMW X3
11995,58741,"Union City,  NJ",2013,Subaru,Forester,Union City, NJ,0,1.0,Personal,Subaru Forester
13995,41883,"Union City,  NJ",2016,Hyundai,Sonata,Union City, NJ,0,2.0,Personal,Hyundai Sonata
188500,1849,"New York,  NY",2018,Porsche,911,New York, NY,0,1.0,Personal,Porsche 911
9772,57986,"Jersey City,  NJ",2014,Volkswagen,Jetta,Jersey City, NJ,0,2.0,Personal,Volkswagen Jetta
23297,21291,"Jersey City,  NJ",2019,Nissan,Frontier,Jersey City, NJ,0,1.0,Personal,Nissan Frontier
24797,17734,"Jersey City,  NJ",2020,Chevrolet,Equinox,Jersey City, NJ,0,1.0,Personal,Chevrolet Equinox
12995,47442,"Union City,  NJ",2017,Hyundai,Sonata,Union City, NJ,0,1.0,Personal,Hyundai Sonata
12397,30266,"Jersey City,  NJ",2019,Hyundai,Accent,Jersey City, NJ,0,1.0,Personal,Hyundai Accent
4995,131980,"Union City,  NJ",2008,Jeep,Liberty,Union City, NJ,0,3.0,Personal,Jeep Liberty
19488,78644,"Jersey City,  NJ",2016,Land,Rover Discovery Sport,Jersey City, NJ,1,1.0,Fleet,Land Rover Discovery Sport
10972,70079,"Jersey City,  NJ",2009,BMW,1 Series,Jersey City, NJ,0,2.0,Personal,BMW 1 Series
32797,31673,"Jersey City,  NJ",2019,Jeep,Wrangler,Jersey City, NJ,0,1.0,Personal,Jeep Wrangler
20997,37987,"Jersey City,  NJ",2019,GMC,Terrain,Jersey City, NJ,0,1.0,Personal,GMC Terrain
31497,31198,"Jersey City,  NJ",2019,Toyota,4Runner,Jersey City, NJ,0,1.0,Personal,Toyota 4Runner
19792,80062,"Jersey City,  NJ",2012,Audi,A7,Jersey City, NJ,0,3.0,Personal,Audi A7
9999,80548,"Union City,  NJ",2011,Toyota,RAV4,Union City, NJ,0,3.0,Fleet,Toyota RAV4
43972,107620,"Jersey City,  NJ",2010,Mercedes-Benz,G-Class,Jersey City, NJ,1,3.0,Personal,Mercedes-Benz G-Class
14897,20886,"Jersey City,  NJ",2019,Volkswagen,Jetta,Jersey City, NJ,0,1.0,Personal,Volkswagen Jetta
34497,30164,"Jersey City,  NJ",2019,Ford,Explorer,Jersey City, NJ,0,1.0,Personal,Ford Explorer
32797,20575,"Jersey City,  NJ",2019,Jeep,Grand Cherokee,Jersey City, NJ,0,1.0,Personal,Jeep Grand Cherokee
30497,31244,"Jersey City,  NJ",2019,Ford,Explorer,Jersey City, NJ,1,1.0,Personal,Ford Explorer
7800,62151,"Bayonne,  NJ",2013,Ford,Escape,Bayonne, NJ,1,4.0,Personal,Ford Escape
12999,95113,"Union City,  NJ",2015,Toyota,Sienna,Union City, NJ,0,1.0,Personal,Toyota Sienna
17497,105804,"Jersey City,  NJ",2012,Mercedes-Benz,CLS,Jersey City, NJ,1,1.0,Personal,Mercedes-Benz CLS
12999,57743,"Union City,  NJ",2017,Nissan,Altima,Union City, NJ,0,1.0,Personal,Nissan Altima
9972,87766,"Jersey City,  NJ",2011,Jeep,Liberty,Jersey City, NJ,0,1.0,Personal,Jeep Liberty
23505,44255,"Elizabeth,  NJ",2014,Toyota,4Runner,Elizabeth, NJ,0,4.0,Personal,Toyota 4Runner
15908,27635,"Hillside,  NJ",2017,Nissan,Rogue,Hillside, NJ,0,2.0,Fleet,Nissan Rogue
11972,88340,"Jersey City,  NJ",2010,Mercedes-Benz,CLS,Jersey City, NJ,0,6.0,Fleet,Mercedes-Benz CLS
14750,37080,"Bronx,  NY",2019,Toyota,Camry,Bronx, NY,0,2.0,Personal,Toyota Camry
14505,21484,"Elizabeth,  NJ",2017,Honda,Accord,Elizabeth, NJ,0,1.0,Personal,Honda Accord
6450,119128,"Brooklyn,  NY",2006,Nissan,Armada,Brooklyn, NY,1,3.0,Personal,Nissan Armada
6995,99841,"Jamaica,  NY",2012,Ford,Transit Connect Van,Jamaica, NY,1,1.0,Personal,Ford Transit Connect Van
7999,123551,"Irvington,  NJ",2016,Nissan,Altima,Irvington, NJ,0,1.0,Fleet,Nissan Altima
17495,46675,"Union City,  NJ",2015,Ford,Edge,Union City, NJ,0,1.0,Personal,Ford Edge
16990,54734,"Elmhurst,  NY",2017,Acura,RDX,Elmhurst, NY,0,1.0,Personal,Acura RDX
14990,19318,"Elmhurst,  NY",2017,Toyota,RAV4,Elmhurst, NY,0,1.0,Personal,Toyota RAV4
29000,31591,"Butler,  NJ",2017,Ford,F-150,Butler, NJ,0,1.0,Fleet,Ford F-150
9500,82350,"Linden,  NJ",2013,Toyota,RAV4,Linden, NJ,1,1.0,Fleet,Toyota RAV4
37995,7360,"New York,  NY",2019,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
8995,165023,"Newark,  NJ",2010,Mercedes-Benz,E-Class,Newark, NJ,0,1.0,Personal,Mercedes-Benz E-Class
13881,34631,"New York,  NY",2019,Volkswagen,Jetta,New York, NY,0,1.0,Personal,Volkswagen Jetta
14777,28902,"Union,  NJ",2017,Honda,Accord,Union, NJ,0,1.0,Personal,Honda Accord
11995,100704,"Bayonne,  NJ",2012,Volkswagen,Touareg,Bayonne, NJ,1,2.0,Fleet,Volkswagen Touareg
15797,27494,"Jersey City,  NJ",2019,Mitsubishi,Eclipse Cross,Jersey City, NJ,0,1.0,Personal,Mitsubishi Eclipse Cross
1995,197486,"Staten Island,  NY",1998,Toyota,Camry,Staten Island, NY,1,3.0,Fleet,Toyota Camry
21995,92517,"Union City,  NJ",2015,Mercedes-Benz,GL,Union City, NJ,1,1.0,Personal,Mercedes-Benz GL
6895,100909,"Saddle Brook,  NJ",2011,Toyota,Prius,Saddle Brook, NJ,1,2.0,Personal,Toyota Prius
18995,76342,"Hasbrouck Heights,  NJ",2008,Ford,Super Duty F-450 Chassis Cab,Hasbrouck Heights, NJ,0,2.0,Personal,Ford Super Duty F-450 Chassis Cab
14905,29103,"Elizabeth,  NJ",2017,Acura,TLX,Elizabeth, NJ,1,1.0,Personal,Acura TLX
16995,93783,"Emerson,  NJ",2017,Subaru,Outback,Emerson, NJ,0,1.0,Personal,Subaru Outback
17995,90750,"Long Island City,  NY",2018,Honda,Accord,Long Island City, NY,0,1.0,Personal,Honda Accord
19197,20999,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
12995,39667,"Union City,  NJ",2015,Chevrolet,Equinox,Union City, NJ,0,1.0,Personal,Chevrolet Equinox
16990,51210,"Brooklyn,  NY",2017,Honda,Civic,Brooklyn, NY,0,1.0,Personal,Honda Civic
10995,39815,"Rahway,  NJ",2019,Nissan,Sentra,Rahway, NJ,1,1.0,Personal,Nissan Sentra
21597,14166,"Jersey City,  NJ",2019,Toyota,Prius,Jersey City, NJ,0,1.0,Personal,Toyota Prius
14792,69258,"Jersey City,  NJ",2014,Mercedes-Benz,C-Class,Jersey City, NJ,2,3.0,Personal,Mercedes-Benz C-Class
7950,152646,"Brooklyn,  NY",2010,Audi,A5,Brooklyn, NY,1,2.0,Personal,Audi A5
14995,112329,"Newark,  NJ",2015,Ford,Explorer,Newark, NJ,0,1.0,Personal,Ford Explorer
26995,71255,"Newark,  NJ",2012,BMW,X6 M,Newark, NJ,1,1.0,Personal,BMW X6 M
19990,87041,"Jersey City,  NJ",2014,Audi,Q7,Jersey City, NJ,0,3.0,Personal,Audi Q7
